repo_name,repo_url
cesm-lens-aws-cookbook, https://github.com/ProjectPythia/cesm-lens-aws-cookbook
cmip6-cookbook, https://github.com/ProjectPythia/cmip6-cookbook
HRRR-AWS-cookbook, https://github.com/ProjectPythia/HRRR-AWS-cookbook
radar-cookbook, https://github.com/ProjectPythia/radar-cookbook
intake-cookbook, https://github.com/ProjectPythia/intake-cookbook
landsat-ml-cookbook, https://github.com/ProjectPythia/landsat-ml-cookbook
kerchunk-cookbook, https://github.com/ProjectPythia/kerchunk-cookbook
xbatcher-ML-1-cookbook, https://github.com/ProjectPythia/xbatcher-ML-1-cookbook
dask-cookbook, https://github.com/ProjectPythia/dask-cookbook
ERA5_interactive-cookbook, https://github.com/ProjectPythia/ERA5_interactive-cookbook
web-map-feature-services-cookbook, https://github.com/ProjectPythia/web-map-feature-services-cookbook
gridding-cookbook, https://github.com/ProjectPythia/gridding-cookbook
