repo_name,repo_url,host,user,landingpage,landingpage_url,config_url,cookbook_loc,branch,published
citrace_paleobook,https://github.com/LinkedEarth/citrace_paleobook,https://linked.earth,LinkedEarth,README,https://linked.earth/citrace_paleobook/README.html,https://github.com/LinkedEarth/citrace_paleobook/blob/main/_config.yml,https://linked.earth/citrace_paleobook,main,FALSE
LMR_CMIP_paleobook,https://github.com/LinkedEarth/LMR_CMIP_paleobook,https://linked.earth,LinkedEarth,README,,https://github.com/LinkedEarth/LMR_CMIP_paleobook/blob/main/_config.yml,,main,FALSE
DISK-proxyComposite,https://github.com/khider/DISK-proxyComposite/blob/main/proxycomposite,https://khider.github.io,khider,intro,,,,,FALSE
past_life_wmg,https://github.com/jordanplanders/past_life_wmg/blob/main/ancient_wmgr_book,https://jordanplanders.github.io,jordanplanders,intro,,,,,FALSE
Detecting_Paleoclimate_Transitions_with_LERM,https://github.com/alexkjames/Detecting_Paleoclimate_Transitions_with_LERM,https://alexkjames.github.io,alexkjames,intro,,,,,TRUE
PyleoclimPaper,https://github.com/LinkedEarth/PyleoclimPaper,https://linked.earth,LinkedEarth,README,,,,,TRUE
dry-tortugas-calibration-fun,https://github.com/khider/dry-tortugas-calibration-fun/blob/main/paleobook,https://khider.github.io,khider,intro,,,,,FALSE
PaleoPCA,https://github.com/khider/PaleoPCA,https://khider.github.io,khider,paleoPCA,https://khider.github.io/paleoPCA/,https://github.com/khider/paleoPCA/blob/main/myst.yml,,main,FALSE
pens,https://github.com/LinkedEarth/pens,https://linked.earth,CommonClimate,ug-eg25,https://linked.earth/pens/ug-eg25.html,https://github.com/LinkedEarth/pens/blob/jbook/_config.yml,https://linked.earth/pens,jbook,TRUE
AsianSpeleothemCoherency,https://github.com/alexkjames/AsianSpeleothemCoherency,https://alexkjames.github.io,alexkjames,intro,https://alexkjames.github.io/AsianSpeleothemCoherency/intro.html,https://github.com/alexkjames/AsianSpeleothemCoherency/blob/main/_config.yml,https://alexkjames.github.io/AsianSpeleothemCoherency,main,TRUE
GeoChronR,https://github.com/nickmckay/GeoChronR,https://nickmckay.github.io,nickmckay,Introduction,http://nickmckay.github.io/GeoChronR/articles/Introduction.html,,https://nickmckay.github.io/GeoChronR,master,TRUE
Speleothems_and_Insolation,https://github.com/LinkedEarth/Speleothems_and_Insolation,https://linked.earth,LinkedEarth,intro,https://linked.earth/Speleothems_and_Insolation/intro.html,https://github.com/LinkedEarth/Speleothems_and_Insolation/blob/main/_config.yml,https://linked.earth/Speleothems_and_Insolation,main,TRUE
cropper_ecs,https://github.com/croppers/cropper_ecs,https://croppers.github.io,croppers,introduction,https://croppers.github.io/cropper_ecs/introduction.html,https://github.com/croppers/cropper_ecs/blob/main/_config.yml,https://croppers.github.io/cropper_ecs,main,TRUE
reproduce_lmr_pb,https://github.com/LinkedEarth/reproduce_lmr_pb,https://linked.earth,LinkedEarth,README,https://linked.earth/reproduce_lmr_pb/README.html,https://github.com/LinkedEarth/reproduce_lmr_pb/blob/main/_config.yml,https://linked.earth/reproduce_lmr_pb,main,FALSE
presto2k_cfr_pb,https://github.com/LinkedEarth/presto2k_cfr_pb,https://linked.earth,LinkedEarth,README,https://linked.earth/presto2k_cfr_pb/README.html,https://github.com/LinkedEarth/presto2k_cfr_pb/blob/main/_config.yml,https://linked.earth/presto2k_cfr_pb,main,FALSE
FreqFun,https://github.com/LinkedEarth/FreqFun,https://linked.earth,LinkedEarth,FreqFun,https://linked.earth/FreqFun/,https://github.com/LinkedEarth/FreqFun/blob/master/myst.yml,,master,FALSE
